"x","y","d","elevation","population"
82.712677,28.144612,0,595.075927734375,19.1700553894043
82.7126865122494,28.1446087550111,1.00120966909743,595.075927734375,19.1700553894043
82.7126960244989,28.1446055100223,2.00241933819486,595.075927734375,19.1700553894043
82.7127055367483,28.1446022650334,3.00362900729229,595.075927734375,19.1700553894043
82.7127150489978,28.1445990200445,4.00483867638972,595.075927734375,19.1700553894043
82.7127245612472,28.1445957750557,5.00604834548715,595.075927734375,19.1700553894043
82.7127340734967,28.1445925300668,6.00725801458458,595.075927734375,19.1700553894043
82.7127435857461,28.1445892850779,7.00846768368201,595.075927734375,19.1700553894043
82.7127530979955,28.1445860400891,8.00967735277944,595.075927734375,19.1700553894043
82.712762610245,28.1445827951002,9.01088702187688,599.159484863281,19.1700553894043
82.7127721224944,28.1445795501114,10.0120966909743,599.159484863281,19.1700553894043
82.7127816347439,28.1445763051225,11.0133063600717,599.159484863281,19.1700553894043
82.7127911469933,28.1445730601336,12.0145160291692,599.159484863281,19.1700553894043
82.7128006592428,28.1445698151448,13.0157256982666,599.159484863281,19.1700553894043
82.7128101714922,28.1445665701559,14.016935367364,599.159484863281,19.1700553894043
82.7128196837416,28.144563325167,15.0181450364615,599.159484863281,19.1700553894043
82.7128291959911,28.1445600801782,16.0193547055589,599.159484863281,19.1700553894043
82.7128387082405,28.1445568351893,17.0205643746563,599.159484863281,19.1700553894043
82.71284822049,28.1445535902004,18.0217740437538,599.159484863281,19.1700553894043
82.7128577327394,28.1445503452116,19.0229837128512,599.159484863281,19.1700553894043
82.7128672449889,28.1445471002227,20.0241933819486,599.159484863281,19.1700553894043
82.7128767572383,28.1445438552339,21.025403051046,599.159484863281,19.1700553894043
82.7128862694878,28.144540610245,22.0266127201435,599.159484863281,19.1700553894043
82.7128957817372,28.1445373652561,23.0278223892409,599.159484863281,19.1700553894043
82.7129052939866,28.1445341202673,24.0290320583383,599.159484863281,18.0681438446045
82.7129148062361,28.1445308752784,25.0302417274358,599.159484863281,18.0681438446045
82.7129243184855,28.1445276302895,26.0314513965332,591.2392578125,18.0681438446045
82.712933830735,28.1445243853007,27.0326610656306,591.2392578125,18.0681438446045
82.7129433429844,28.1445211403118,28.0338707347281,591.2392578125,18.0681438446045
82.7129528552339,28.1445178953229,29.0350804038255,591.2392578125,18.0681438446045
82.7129623674833,28.1445146503341,30.0362900729229,591.2392578125,18.0681438446045
82.7129718797327,28.1445114053452,31.0374997420203,591.2392578125,18.0681438446045
82.7129813919822,28.1445081603563,32.0387094111178,591.2392578125,18.0681438446045
82.7129909042316,28.1445049153675,33.0399190802152,591.2392578125,18.0681438446045
82.7130004164811,28.1445016703786,34.0411287493126,591.2392578125,18.0681438446045
82.7130099287305,28.1444984253898,35.0423384184101,591.2392578125,18.0681438446045
82.7130194409799,28.1444951804009,36.0435480875075,591.2392578125,18.0681438446045
82.7130289532294,28.144491935412,37.0447577566049,591.2392578125,18.0681438446045
82.7130384654788,28.1444886904232,38.0459674257024,591.2392578125,18.0681438446045
82.7130479777283,28.1444854454343,39.0471770947998,591.2392578125,18.0681438446045
82.7130574899777,28.1444822004454,40.0483867638972,591.2392578125,18.0681438446045
82.7130670022272,28.1444789554566,41.0495964329947,591.2392578125,18.0681438446045
82.7130765144766,28.1444757104677,42.0508061020921,591.2392578125,18.0681438446045
82.7130860267261,28.1444724654788,43.0520157711895,591.2392578125,18.0681438446045
82.7130955389755,28.14446922049,44.0532254402869,591.2392578125,18.0681438446045
82.7131050512249,28.1444659755011,45.0544351093844,591.2392578125,18.0681438446045
82.7131145634744,28.1444627305122,46.0556447784818,591.2392578125,18.0681438446045
82.7131240757238,28.1444594855234,47.0568544475792,591.2392578125,18.0681438446045
82.7131335879733,28.1444562405345,48.0580641166767,591.2392578125,18.0681438446045
82.7131431002227,28.1444529955457,49.0592737857741,591.2392578125,18.0681438446045
82.7131526124722,28.1444497505568,50.0604834548715,591.2392578125,18.0681438446045
82.7131621247216,28.1444465055679,51.061693123969,591.2392578125,18.0681438446045
82.713171636971,28.1444432605791,52.0629027930664,591.2392578125,18.0681438446045
82.7131811492205,28.1444400155902,53.0641124621638,591.2392578125,18.0681438446045
82.7131906614699,28.1444367706013,54.0653221312613,591.2392578125,18.0681438446045
82.7132001737194,28.1444335256125,55.0665318003587,591.2392578125,18.0681438446045
82.7132096859688,28.1444302806236,56.0677414694561,591.2392578125,18.0681438446045
82.7132191982183,28.1444270356347,57.0689511385535,591.2392578125,18.0681438446045
82.7132287104677,28.1444237906459,58.070160807651,591.2392578125,18.0681438446045
82.7132382227172,28.144420545657,59.0713704767484,591.2392578125,18.0681438446045
82.7132477349666,28.1444173006681,60.0725801458458,591.2392578125,18.0681438446045
82.713257247216,28.1444140556793,61.0737898149433,591.2392578125,18.0681438446045
82.7132667594655,28.1444108106904,62.0749994840407,591.2392578125,18.0681438446045
82.7132762717149,28.1444075657016,63.0762091531381,591.2392578125,18.0681438446045
82.7132857839644,28.1444043207127,64.0774188222356,591.2392578125,18.0681438446045
82.7132952962138,28.1444010757238,65.078628491333,591.2392578125,18.0681438446045
82.7133048084632,28.144397830735,66.0798381604304,591.2392578125,18.0681438446045
82.7133143207127,28.1443945857461,67.0810478295278,591.2392578125,18.0681438446045
82.7133238329621,28.1443913407572,68.0822574986253,591.2392578125,18.0681438446045
82.7133333452116,28.1443880957684,69.0834671677227,591.2392578125,18.0681438446045
82.713342857461,28.1443848507795,70.0846768368201,591.2392578125,18.0681438446045
82.7133523697105,28.1443816057906,71.0858865059176,591.2392578125,18.0681438446045
